CÓDIGO,CLIENTE,REDE,SUBREDE,LOGRADOURO,NUMERO,BAIRRO,CIDADE,ENDEREÇO,A00_LAT,A00_LONG
1641,SUPERMERCADO RIOS,,SUPERMERCADO RIOS,RUA MONSENHOR VALDIR,610,CENTRO,MARCO,"RUA MONSENHOR VALDIR, 610, CENTRO, MARCO",-3.122141,-40.149564
1644,MERCADINHO WILSON,,,RUA DA PRAIA,SN,MUNDAU,TRAIRI,"RUA DA PRAIA, SN, MUNDAU, TRAIRI",-3.1808859,-39.3734641
1655,MERCEARIA JOAO BOSCO,,,VILA CELSOLANDIA,SN,ZONA RURAL,ACARAU,"VILA CELSOLANDIA, SN, ZONA RURAL, ACARAU",-2.9796423,-40.1272441
1663,MERCT ANTO S SALES,,,RODOVIA CE 161,2,BOM JESUS,MARCO,"RODOVIA CE 161, 2, BOM JESUS, MARCO",-3.08170484,-40.08399627
1667,SUPERMERCADO PORTO SEGURO,,PORTO SEGURO,RUA EXPEDITO FARIAS,328,CENTRO,ACARAU,"RUA EXPEDITO FARIAS, 328, CENTRO, ACARAU",-2.8847024,-40.1189453
1669,MERCADINHO LIBERDADE,,,PRACA DA LIBERDADE,68,LIBERDADE,SANTANA DO ACARAU,"PRACA DA LIBERDADE, 68, LIBERDADE, SANTANA DO ACARAU",-3.461787,-40.2092323
1683,MERCADINHO PORTELA,,,RUA PADRE JOSE MARIA MOURA,129,NOVA METROPOLE,CAUCAIA,"RUA PADRE JOSE MARIA MOURA, 129, NOVA METROPOLE, CAUCAIA",-3.7677424,-38.6496585
1692,BENCAO DE DEUS - CAUCAIA,,BENCAO DE DEUS,RUA SAO SEBASTIAO,441,CAMURUPIM,CAUCAIA,"RUA SAO SEBASTIAO, 441, CAMURUPIM, CAUCAIA",-3.7085863,-38.6568387
1702,PANIFICADORA MAGALHAES,,,RUA CONEGO DE CASTRO,9770,ALTO ALEGRE,MARACANAU,"RUA CONEGO DE CASTRO, 9770, ALTO ALEGRE, MARACANAU",-3.8279077,-38.6075629
1705,MERCANTIL SANTA RITA,,,RUA CORONEL DUCA,448,CENTRO,BELA CRUZ,"RUA CORONEL DUCA, 448, CENTRO, BELA CRUZ",-3.0562147,-40.1682999
1708,NOSSA SRA DE FATIMA,REDE UNIFORCA,,AVENIDA CONTORNO NORTE,800,CONJUNTO INDUSTRIAL,MARACANAU,"AVENIDA CONTORNO NORTE, 800, CONJUNTO INDUSTRIAL, MARACANAU",-3.8359504,-38.5950891
1712,PADARIA PAO PURO,,,RUA QUINZE DE OUTUBRO,1348,CAPUAN,CAUCAIA,"RUA QUINZE DE OUTUBRO, 1348, CAPUAN, CAUCAIA",-3.7283476,-38.7020008
1713,MERCANTIL EDILTON,,,RUA MANOEL PEREGRINO ROCHA,491,SAO LUIZ,MORRINHOS,"RUA MANOEL PEREGRINO ROCHA, 491, SAO LUIZ, MORRINHOS",-3.2306778,-40.1211663
1721,COMERCIAL SOUSA FILHO,,,RUA NOSSA SENHORA DE FATIMA,312,CENTRO,BELA CRUZ,"RUA NOSSA SENHORA DE FATIMA, 312, CENTRO, BELA CRUZ",-3.0592586,-40.1653967
1735,DM MERCADINHO,,,ESTRADA POVOADO CAUASSU,SN,ZONA RURAL,ACARAU,"ESTRADA POVOADO CAUASSU, SN, ZONA RURAL, ACARAU",-2.8633781,-40.0531178
1743,MERCEARIA FREITAS,,,RUA CORREGO DAS VARAS,SN,ZONA RURAL,ACARAU,"RUA CORREGO DAS VARAS, SN, ZONA RURAL, ACARAU",-2.9944664,-40.1300131
1757,PADARIA SAO JOAO,,,RUA JOAO ARCANJO DE MARIA,440,CENTRO,SANTANA DO ACARAU,"RUA JOAO ARCANJO DE MARIA, 440, CENTRO, SANTANA DO ACARAU",-3.461654,-40.2066723
1763,MERCADINHO PAQUE MENOS,,,RUA VIGARIO THEOTIME,7,CENTRO,SANTANA DO ACARAU,"RUA VIGARIO THEOTIME, 7, CENTRO, SANTANA DO ACARAU",-3.4591573,-40.2116779
1767,MERCIARIA OSEIAS,,,RUA VILA CERAMICA,SN,CERAMICA,ACARAU,"RUA VILA CERAMICA, SN, CERAMICA, ACARAU",-2.92070561,-40.12394253
1770,MERCANTIL DEUS TE PAGUE,REDE INTEGRADA,DEUS TE PAGUE,RUA MARTINS DE CARVALHO,4398,GRANJA LISBOA,FORTALEZA,"RUA MARTINS DE CARVALHO, 4398, GRANJA LISBOA, FORTALEZA",-3.7881655,-38.6279994
1777,BENCAO DE DEUS - MARACANAU,,BENCAO DE DEUS,RODOVIA RAIMUNDO PESSOA DE ARAUJO,850,MUCUNA,MARACANAU,"RODOVIA RAIMUNDO PESSOA DE ARAUJO, 850, MUCUNA, MARACANAU",-3.8463687,-38.6555481
1783,MERCADINHO CASA DO PEIXE,,,RUA GISELDA MAGALHAES,658,PARQUE POTIRA,CAUCAIA,"RUA GISELDA MAGALHAES, 658, PARQUE POTIRA, CAUCAIA",-3.7539501,-38.6229396
1786,MERCADINHO AGUIAR,REDE EXATA,,RUA TEODORO DE CSTRO,2509,GRANJA LISBOA,FORTALEZA,"RUA TEODORO DE CSTRO, 2509, GRANJA LISBOA, FORTALEZA",-3.7780893,-38.616795
1790,MERCANTIL GERALDO TEOFILO,,,AVENIDA DEPUTADO NEVES OSTERNO,504,CENTRO,MARCO,"AVENIDA DEPUTADO NEVES OSTERNO, 504, CENTRO, MARCO",-3.1206799,-40.1501857
1797,FJ FRIOS,,,RUA PADRE APOLIANO,558,CENTRO,MARCO,"RUA PADRE APOLIANO, 558, CENTRO, MARCO",-3.1223055,-40.1523982
1812,PANIFICADORA NOSSO PAO,,,RUA CAPITAO MANOEL BANDEIRA,786,GUABIRABA,MARANGUAPE,"RUA CAPITAO MANOEL BANDEIRA, 786, GUABIRABA, MARANGUAPE",-3.8943696,-38.6881168
1815,PADARIA PAES DA HORA,,,RUA CONJUNTO JOAO PAULO II,56,CRUZEIRO,IRAUCUBA,"RUA CONJUNTO JOAO PAULO II, 56, CRUZEIRO, IRAUCUBA",-3.7522366,-39.7813582
1817,PANIFICADORA O MAX,,,RUA JOAQUIM CARLOS FERNANDES,10,SANTOS DUMONT,MARANGUAPE,"RUA JOAQUIM CARLOS FERNANDES, 10, SANTOS DUMONT, MARANGUAPE",-3.8858374,-38.6815548
1846,MERCANTIL O SOARES,,,AVENIDA ALCIDES ROCHA,50,CENTRO,MORRINHOS,"AVENIDA ALCIDES ROCHA, 50, CENTRO, MORRINHOS",-3.229244,-40.1222582
1873,PANIFICADORA BOA OPCAO,,,RUA UM,613,JARI,MARACANAU,"RUA UM, 613, JARI, MARACANAU",-3.8219527,-38.6279053
1875,UNICOMPRAS - LJ 01,REDE AMIGOS,UNICOMPRAS,AVENIDA AV 22,404,JEREISSATI III,MARACANAU,"AVENIDA AV 22, 404, JEREISSATI III, MARACANAU",-3.8891567,-38.6108356
1876,BAR JOAO MOTA,,,RUA EUBIA BARROSO,1675,LADEIRA,ITAPIPOCA,"RUA EUBIA BARROSO, 1675, LADEIRA, ITAPIPOCA",-3.5094076,-39.5832157
1879,MERCEARIA O LUCIVAN,,,VILA CAJAZEIRA,50,BARATEIRO,ITAPAJE,"VILA CAJAZEIRA, 50, BARATEIRO, ITAPAJE",-3.7000917,-39.5997772
1910,MERCADINHO JUNIOR,,,RUA 30 DE JULHO,986,ALEMAES,MARCO,"RUA 30 DE JULHO, 986, ALEMAES, MARCO",-3.1205016,-40.1510494
1924,SENHOR NEVES,,,RUA TERESINA,704,HENRIQUE JORGE,FORTALEZA,"RUA TERESINA, 704, HENRIQUE JORGE, FORTALEZA",-3.7622105,-38.5934507
1963,LAREDO - MARANGUAPE,,LAREDO,RUA CAPITAO GEOVA COLARES,101,OUTRA BANDA,MARANGUAPE,"RUA CAPITAO GEOVA COLARES, 101, OUTRA BANDA, MARANGUAPE",-3.89206803,-38.68194164
1967,SAO FRANCISCO - FILIAL LJ 02,MAX REDE,SUPER SAO FRANCISCO,RUA GUSTAVO BARROSO,663,BOM JARDIM,FORTALEZA,"RUA GUSTAVO BARROSO, 663, BOM JARDIM, FORTALEZA",-3.7865804,-38.5979579
1980,SUPERMERCADO ATACAREJO IRMAO,REDE INTEGRADA,O IRMAO,RUA CEL ANT BOTELHO DE SOUSA,415,CENTRO,MARANGUAPE,"RUA CEL ANT BOTELHO DE SOUSA, 415, CENTRO, MARANGUAPE",-3.8958534,-38.6839187
1982,MERCADINHO NOVIN,,,RUA LIRIOS DOS VALES,120,PLANALTO BENJAMIM,PACATUBA,"RUA LIRIOS DOS VALES, 120, PLANALTO BENJAMIM, PACATUBA",-3.8946194,-38.617515
1988,VARIEDADES SUPERMERCADOS - LJ 02,REDE UNIFORCA,VARIEDADES SUPERMERCADO,RUA CORDEIRO DE MIRANDA,1311,METROPOLITANO,CAUCAIA,"RUA CORDEIRO DE MIRANDA, 1311, METROPOLITANO, CAUCAIA",-3.7592169,-38.6557872
1998,SUPERMERCADO PROGRESSO,,PROGRESSO,RUA 110,220,TIMBO,MARACANAU,"RUA 110, 220, TIMBO, MARACANAU",-3.8775392,-38.6087159
2018,MERCADINHO A & H,,,RUA NOVA,SN,RIACHO,ITAREMA,"RUA NOVA, SN, RIACHO, ITAREMA",-2.9206055,-39.9150095
2028,MERCADINHO LAGO VERDE,,,RUA JOAO ELIAS BRANDAO,435,LAGOA SECA,ITAREMA,"RUA JOAO ELIAS BRANDAO, 435, LAGOA SECA, ITAREMA",-2.9203826,-39.920936
2041,ECONOMICO MERCADINHO,,,RUA DA PAZ,SN,TRIANGULO DO MARCO,MARCO,"RUA DA PAZ, SN, TRIANGULO DO MARCO, MARCO",-3.1204743,-40.0843006
2049,MERCADINHO MULATO,,,AVENIDA JOAO BATISTA RIOS,SN,CENTRO,ITAREMA,"AVENIDA JOAO BATISTA RIOS, SN, CENTRO, ITAREMA",-2.9234384,-39.9128495
2061,MERCD MOITAS,,,VILA MARIANO,SN,MUNDAU,TRAIRI,"VILA MARIANO, SN, MUNDAU, TRAIRI",-3.1808859,-39.3734641
2067,COMPRE FACIL,,,AVENIDA MANOEL TEIXEIRA,155,CENTRO,JIJOCA DE JERICOACOARA,"AVENIDA MANOEL TEIXEIRA, 155, CENTRO, JIJOCA DE JERICOACOARA",-2.89636534,-40.45304976
2070,FRIGORIFICO AMONTADA,,,RUA PADRE PEDRO VITORINO,907,CENTRO,AMONTADA,"RUA PADRE PEDRO VITORINO, 907, CENTRO, AMONTADA",-3.3608674,-39.8312433
2077,MERCAD BOM PRECO,,,ESTRADA SAO JOSE DOS FONTELES,100,ZONA RURAL,BELA CRUZ,"ESTRADA SAO JOSE DOS FONTELES, 100, ZONA RURAL, BELA CRUZ",-3.05895889,-40.10667211
2084,MERCADINHO ANGELA,,,RUA AURINO SANTOS COLARES,821,METROPOLITANO,CAUCAIA,"RUA AURINO SANTOS COLARES, 821, METROPOLITANO, CAUCAIA",-3.7588441,-38.6630061
2086,MERCEARIA CHICHICO,,,RUA NILA MOURA,SN,MACAJUBA,ACARAU,"RUA NILA MOURA, SN, MACAJUBA, ACARAU",-2.97881551,-40.12705913
2095,JACINTO SUPERMERCADO,,,RUA ALFREDO RODRIGUES,609,CENTRO,AMONTADA,"RUA ALFREDO RODRIGUES, 609, CENTRO, AMONTADA",-3.361253,-39.8331334
2096,MERCEARIA ROSELANDIA,,,ESTRADA PARA ACARAU,33,BR 403,BELA CRUZ,"ESTRADA PARA ACARAU, 33, BR 403, BELA CRUZ",-3.03022306,-40.12400977
2106,LANCHONETE DAS CHAGAS,,,RODOVIA BR 404,SN,LAGOA DO CANEMA,ACARAU,"RODOVIA BR 404, SN, LAGOA DO CANEMA, ACARAU",-2.9626219,-40.124351
2113,MERCANTIL OSILANDO,,,RUA BOM JESUS,SN,TRIANGULO DO MARCO,MARCO,"RUA BOM JESUS, SN, TRIANGULO DO MARCO, MARCO",-3.1204743,-40.0843006
2119,MERCADINHO MF,,,AVENIDA TENENTE ALBANO,1450,CENTRO,CRUZ,"AVENIDA TENENTE ALBANO, 1450, CENTRO, CRUZ",-2.9154747,-40.1753749
2122,COMERCIAL ERONILDO,,,OUTROS LAGO GRANDE,3,BR 403,ACARAU,"OUTROS LAGO GRANDE, 3, BR 403, ACARAU",-2.88459529,-40.1196469
2126,NOVO SIQUEIRA,,NOVO SIQUEIRA,RUA DA PAZ,1602,SIQUEIRA,MARACANAU,"RUA DA PAZ, 1602, SIQUEIRA, MARACANAU",-3.80892581,-38.62755341
2138,MERCADINHO CICERO,,,RUA PROFESSORA RAIMUNDA ADELIA,160,ANTONIO BEZERRA,FORTALEZA,"RUA PROFESSORA RAIMUNDA ADELIA, 160, ANTONIO BEZERRA, FORTALEZA",-3.7370009,-38.5934234
2140,MERCADINHO QUATRO IRMAOS,,,RUA JUAREZ ANDRADE,217,JANDAIGUABA,CAUCAIA,"RUA JUAREZ ANDRADE, 217, JANDAIGUABA, CAUCAIA",-3.7271072,-38.7011604
2151,PADARIA DEUS E MAIS,,,AVENIDA ALCIDES ROCHA,210,SAO LUIZ,MORRINHOS,"AVENIDA ALCIDES ROCHA, 210, SAO LUIZ, MORRINHOS",-3.2295341,-40.1221994
2177,COMERCIAL MIMI,,,RUA DA PRACA,20,CENTRO,SANTANA DO ACARAU,"RUA DA PRACA, 20, CENTRO, SANTANA DO ACARAU",-3.4602306,-40.2129048
2193,MERCEARIA JOSE NEUTO,,,RUA BOM JESUS,SN,TRIANGULO DO MARCO,MARCO,"RUA BOM JESUS, SN, TRIANGULO DO MARCO, MARCO",-3.14023947,-40.08508381
2203,PARAISO DAS FRUTAS,,,AVENIDA JOAO JAIME FERREIRA GOMES,349,CENTRO,ACARAU,"AVENIDA JOAO JAIME FERREIRA GOMES, 349, CENTRO, ACARAU",-2.8855998,-40.1194598
2207,PANE SAN PADARIA & CONFEITARIA,,,RUA TORREON,1617,PARQUE GUADALAJARA (JUREMA),CAUCAIA,"RUA TORREON, 1617, PARQUE GUADALAJARA (JUREMA), CAUCAIA",-3.7583253,-38.6354708
2238,SUPERMERCADO ECONOMICO,,ECONOMICO,AVENIDA DUQUE DE CAXIAS,553,CENTRO,ITAPIPOCA,"AVENIDA DUQUE DE CAXIAS, 553, CENTRO, ITAPIPOCA",-3.500866,-39.5822969
2240,SUPER CUMBUCO - CUMBUCO - LJ 01,REDE POUPE MAX,SUPER CUMBUCO,RUA ALMIRANTE SOARES DUTRA,33,CUMBUCO,CAUCAIA,"RUA ALMIRANTE SOARES DUTRA, 33, CUMBUCO, CAUCAIA",-3.625908,-38.7283622
2247,MERCADINHO ZE AIRTON,,,RUA WELITON AUGUSTO MONTEIRO,874,PARQUE SOLEDADE,CAUCAIA,"RUA WELITON AUGUSTO MONTEIRO, 874, PARQUE SOLEDADE, CAUCAIA",-3.7449865,-38.6498108
2267,PADARIA DO CARLOS,,,RUA MEXICO,1603,PARQUE DAS NACOES,CAUCAIA,"RUA MEXICO, 1603, PARQUE DAS NACOES, CAUCAIA",-3.7453952,-38.6070915
2279,EXITO - ACAPULCO,REDE UNIFORCA,EXITO,RUA ACAPULCO,1360,PARQUE GUADALAJARA (JUREMA),CAUCAIA,"RUA ACAPULCO, 1360, PARQUE GUADALAJARA (JUREMA), CAUCAIA",-3.758694,-38.625415
2292,CLAECK SUPERMERCADO - PRQ SANTANA,REDE INTEGRADA,CLAECK SUPERMERCADO,RUA VIA COLETORA,410,MONDUBIM,FORTALEZA,"RUA VIA COLETORA, 410, MONDUBIM, FORTALEZA",-3.8142935,-38.5831318
2299,PANIFICADORA NOSSA SRA DA GUIA,,,AVENIDA CENTRAL NORTE,594,ACARACUZINHO,MARACANAU,"AVENIDA CENTRAL NORTE, 594, ACARACUZINHO, MARACANAU",-3.8487703,-38.6136662
2309,COMETA (TREZE DE MAIO),COMETA,,AVENIDA TREZE DE MAIO,1060,FATIMA,FORTALEZA,"AVENIDA TREZE DE MAIO, 1060, FATIMA, FORTALEZA",-3.7495749,-38.5285489
2332,MERCANTIL O ROBERIO,,,RUA RAIMUNDO NABOR BASTOS,10,SANTA RITA,ITAPAJE,"RUA RAIMUNDO NABOR BASTOS, 10, SANTA RITA, ITAPAJE",-3.6862242,-39.5810285
2333,MERCADINHO DOIS IRMAOS,,,RUA MEXICO,1616,PARQUE DAS NACOES,CAUCAIA,"RUA MEXICO, 1616, PARQUE DAS NACOES, CAUCAIA",-3.74066503,-38.60610613
2337,MERCADINHO VITORIA,,,RUA PADRE CICERO,555,CONJUNTO METROPOLITANO,CAUCAIA,"RUA PADRE CICERO, 555, CONJUNTO METROPOLITANO, CAUCAIA",-3.754912,-38.6618811
2340,MERCANTIL POPULAR,,,RUA PEDRO ARTUR,757,JACARECANGA,FORTALEZA,"RUA PEDRO ARTUR, 757, JACARECANGA, FORTALEZA",-3.7130283,-38.5534343
2347,O VAREJAO,REDE POUPE MAX,O VAREJAO,RUA INOCENCIO BRAGA,313,CENTRO,ITAPIPOCA,"RUA INOCENCIO BRAGA, 313, CENTRO, ITAPIPOCA",-3.5003421,-39.5819445
2351,COMETA (OSORIO DE PAIVA),COMETA,,AVENIDA OSORIO DE PAIVA,6554,SIQUEIRA,FORTALEZA,"AVENIDA OSORIO DE PAIVA, 6554, SIQUEIRA, FORTALEZA",-3.8109052,-38.6092229
2355,SUPERMERCADO VAREJAO - MANOEL SATIRO,REDE PARCERIA,SUPERMERCADO VAREJAO,RUA DR.JOAO AMORA,360,VILA MANOEL SATIRO,FORTALEZA,"RUA DR.JOAO AMORA, 360, VILA MANOEL SATIRO, FORTALEZA",-3.79989965,-38.5774981
2357,VAREJAO MAX FURT,,,RUA CLOVIS XIMENES,545,CENTRO,VARJOTA,"RUA CLOVIS XIMENES, 545, CENTRO, VARJOTA",-4.1961215,-40.4775118
2362,SUPERMERCADO VAREJAO - OSORIO DE PAIVA,REDE PARCERIA,SUPERMERCADO VAREJAO,AVENIDA AV GAL. OSORIO DE PAIVA,5561,CANINDEZINHO,FORTALEZA,"AVENIDA AV GAL. OSORIO DE PAIVA, 5561, CANINDEZINHO, FORTALEZA",-3.8057528,-38.60253941
2365,SUPERMERCADO SUPER DIKA,REDE POUPE MAX,SUPER DIKA,RUA VINTE E QUATRO DE JANEIRO,138,CIGANA,CAUCAIA,"RUA VINTE E QUATRO DE JANEIRO, 138, CIGANA, CAUCAIA",-3.741646,-38.659527
2368,SUPERMERCADO MFC LTDA,REDE PARCERIA,RMC/MFC,RUA W 18,185,ARATURI,CAUCAIA,"RUA W 18, 185, ARATURI, CAUCAIA",-3.7658197,-38.6401005
2373,BARATEIRO CANAA,,,RUA TEODORICO FERREIRA PINTO,SN,CANAA,TRAIRI,"RUA TEODORICO FERREIRA PINTO, SN, CANAA, TRAIRI",-3.2187073,-39.3629508
2385,UNICOMPRAS - LJ 02,REDE AMIGOS,UNICOMPRAS,AVENIDA AV 17,404,JEREISSATI III,PACATUBA,"AVENIDA AV 17, 404, JEREISSATI III, PACATUBA",-3.8898521,-38.6171332
2411,PONTO DO FRANGO,,,RUA OSVALDO UCHOA,SN,CROATA,SAO GONCALO DO AMARANTE,"RUA OSVALDO UCHOA, SN, CROATA, SAO GONCALO DO AMARANTE",-3.6740475,-39.107437
2415,SUPERMERCADO IRMAO GEMEOS - LJ 02,REDE INTEGRADA,IRMAOS GEMEOS,RUA 34 (CJ SITIO SAO JOAO),180,JANGURUSSU,FORTALEZA,"RUA 34 (CJ SITIO SAO JOAO), 180, JANGURUSSU, FORTALEZA",-3.8508378,-38.5063457
2417,MERCADINHO MARTA,,,RUA ELIEZER GOIS,1316,PARQUE SOLEDADE,CAUCAIA,"RUA ELIEZER GOIS, 1316, PARQUE SOLEDADE, CAUCAIA",-3.7419934,-38.641264
2459,RABELO SUPERMERCADO,REDE EXATA,,AVENIDA P EVANDRO A DE MOURA,250,MONDUBIM,FORTALEZA,"AVENIDA P EVANDRO A DE MOURA, 250, MONDUBIM, FORTALEZA",-3.8195737,-38.5661298
2462,PANIFICADORA XAVIER,,,RUA DONA VITORIA,SN,CROATA,SAO GONCALO DO AMARANTE,"RUA DONA VITORIA, SN, CROATA, SAO GONCALO DO AMARANTE",-3.6745001,-39.117663
2491,SANTA LUCIA,,,RUA 145,11,NOVA METROPOLE,CAUCAIA,"RUA 145, 11, NOVA METROPOLE, CAUCAIA",-3.767536,-38.654106
2499,COMPREMAX - PECEM,REDE PARCERIA,COMPRE MAX,RUA DONA BEATRIZ BRAGA,SN,PECEM,SAO GONCALO DO AMARANTE,"RUA DONA BEATRIZ BRAGA, SN, PECEM, SAO GONCALO DO AMARANTE",-3.5538305,-38.8357141
2503,MERCADINHO O IVAN,,,RUA BELEM,198,ALTO DA BRASILIA,SOBRAL,"RUA BELEM, 198, ALTO DA BRASILIA, SOBRAL",-3.6761946,-40.3432739
2505,SABOR DE TRIGO,,,RUA ELIEZER GOES,1495,SAO GERARDO,CAUCAIA,"RUA ELIEZER GOES, 1495, SAO GERARDO, CAUCAIA",-3.7417226,-38.6431488
2508,MERCADINHO PADARIA BATURITE,,,RUA FRANCISQUINHA FROTA,507,DOM JOSE,SOBRAL,"RUA FRANCISQUINHA FROTA, 507, DOM JOSE, SOBRAL",-3.6928738,-40.367443
2514,MERCADINHO O CLAUDIO,,,RUA PRINCESA ISABEL,451,ANGELIM,URUBURETAMA,"RUA PRINCESA ISABEL, 451, ANGELIM, URUBURETAMA",-3.6187346,-39.4998803
2531,MERCADINHO FERNANDES,,,RUA INACIO BRAGA,28,NOVO PARQUE IRACEMA,MARANGUAPE,"RUA INACIO BRAGA, 28, NOVO PARQUE IRACEMA, MARANGUAPE",-3.9208131,-38.6908804
2535,MERCADINHO BATISTA,,,AVENIDA MOZART PINHEIRO LUCENA,3218,CONJUNTO SAO FRANCISCO,FORTALEZA,"AVENIDA MOZART PINHEIRO LUCENA, 3218, CONJUNTO SAO FRANCISCO, FORTALEZA",-3.7328394,-38.5998675
2554,MERNTIL O ELIESIO,,,RUA PADRE OSVALDO CHAVES,555,TERRENOS NOVOS,SOBRAL,"RUA PADRE OSVALDO CHAVES, 555, TERRENOS NOVOS, SOBRAL",-3.6733767,-40.374456
2561,MERCAEARIA DE BULHA,,,RUA CURAL VELHO DE DENTRO,SN,CURRAL VELHO,ACARAU,"RUA CURAL VELHO DE DENTRO, SN, CURRAL VELHO, ACARAU",-2.84963114,-40.09163867
2565,ALEX SUPERMERCADO,,,RUA JORNALISTA VICENTE LOIOLA,381,ALTO ALEGRE,FORQUILHA,"RUA JORNALISTA VICENTE LOIOLA, 381, ALTO ALEGRE, FORQUILHA",-3.8035202,-40.2626053
2593,MERCADINHO ABENCOADO,,,RUA PADRE MORORO,315,JACARECANGA,FORTALEZA,"RUA PADRE MORORO, 315, JACARECANGA, FORTALEZA",-3.7195196,-38.5354755
2625,MERCIARIA O WILLIM,,,AVENIDA LUIS SANTOS AQUINO,386,CIDADE DR JOSE E F GOMES JR,SOBRAL,"AVENIDA LUIS SANTOS AQUINO, 386, CIDADE DR JOSE E F GOMES JR, SOBRAL",-3.6755797,-40.3728908
2626,MERCADINHO CHICO ANTOINIO,,,RUA PAULO FRANKLIN BARBOSA,224,EDMUNDO RODRIGUES,FORQUILHA,"RUA PAULO FRANKLIN BARBOSA, 224, EDMUNDO RODRIGUES, FORQUILHA",-3.7998487,-40.2657884
2658,MERCANTIL O ELVIZ,,,RUA FREI ALVARO,607,ALTO DO CRISTO,SOBRAL,"RUA FREI ALVARO, 607, ALTO DO CRISTO, SOBRAL",-3.6889958,-40.3593399
2665,MERCANTIL O RAI,REDE EXATA,,RUA JAIME PAULINO,1251,ALTO DA MANGUEIRA,MARACANAU,"RUA JAIME PAULINO, 1251, ALTO DA MANGUEIRA, MARACANAU",-3.8857407,-38.6332654
2677,MERCADINHO O RAIMUNDO,,,RUA PAULO FRANKLIN BARBOSA,142,EDMUNDO RODRIGUES,FORQUILHA,"RUA PAULO FRANKLIN BARBOSA, 142, EDMUNDO RODRIGUES, FORQUILHA",-3.8003198,-40.2619303
2687,MERCADINHO DO FRANGO,,,RUA JULIO HILONO DE SOUSA,SN,EDMUNDO RODRIGUES,FORQUILHA,"RUA JULIO HILONO DE SOUSA, SN, EDMUNDO RODRIGUES, FORQUILHA",-3.8034345,-40.2668582
2700,SUPERMERCADO PAULO BELO - FAZENDINHA,,SUPERMERCADO PAULO BELO,AVENIDA ANASTACIO BRAGA,2012,SAO FRANCISCO,ITAPIPOCA,"AVENIDA ANASTACIO BRAGA, 2012, SAO FRANCISCO, ITAPIPOCA",-3.4963923,-39.5928408
2720,PADARIA PONTO PAO,,,AVENIDA TENENTE ALBANO,1515,CENTRO,CRUZ,"AVENIDA TENENTE ALBANO, 1515, CENTRO, CRUZ",-2.9159175,-40.175148
2725,PADARIA SOBRALENSE,,,AVENIDA JOHN SANFORD,304,JUNCO,SOBRAL,"AVENIDA JOHN SANFORD, 304, JUNCO, SOBRAL",-3.669975,-40.3726454
2726,BARATAO - SIQUEIRA,REDE UNIFORCA,BARATAO,AVENIDA OSORIO DE PAIVA,7020,SIQUEIRA,FORTALEZA,"AVENIDA OSORIO DE PAIVA, 7020, SIQUEIRA, FORTALEZA",-3.8143736,-38.6120921
2732,YURI MERCANTIL,,,RUA ARCELINO RODRIGUES MONCAO,516,EDMUNDO RODRIGUES,FORQUILHA,"RUA ARCELINO RODRIGUES MONCAO, 516, EDMUNDO RODRIGUES, FORQUILHA",-3.8036714,-40.2665898
2734,BARATAO - CONJ ESPERANÇA,REDE UNIFORCA,BARATAO,AVENIDA CONTORNO SUL,333,CONJUNTO ESPERANCA,FORTALEZA,"AVENIDA CONTORNO SUL, 333, CONJUNTO ESPERANCA, FORTALEZA",-3.817788,-38.589921
2744,VAREJAOO GABRIEL,,,RUA DESEMBARGADOR MOREIRA DA ROCHA,705,CENTRO,SOBRAL,"RUA DESEMBARGADOR MOREIRA DA ROCHA, 705, CENTRO, SOBRAL",-3.6858134,-40.3531183
2746,MERCADINHO AUGUSTINHO,,,RUA NOSSA SENHORA DAS GRACAS,4,ESTADIO,URUBURETAMA,"RUA NOSSA SENHORA DAS GRACAS, 4, ESTADIO, URUBURETAMA",-3.6214482,-39.5120893
2763,MERCADINHO VILAMAR,,,RUA JOSE BARROS DE OLIVEIRA,SN,CENTRO,ITAREMA,"RUA JOSE BARROS DE OLIVEIRA, SN, CENTRO, ITAREMA",-2.9287036,-39.9113935
2765,PAD PRINCESA DO NORTE 1,,,RUA CORONEL ERNESTO DEOCLECIANO,610,CENTRO,SOBRAL,"RUA CORONEL ERNESTO DEOCLECIANO, 610, CENTRO, SOBRAL",-3.6885572,-40.3511043
2773,MERCAD CORACAO DE JESUS,,,AV. DR. JOSE EUCLIDES FERREIRA GOMES,57,CORACAO DE JESUS,SOBRAL,"AV. DR. JOSE EUCLIDES FERREIRA GOMES, 57, CORACAO DE JESUS, SOBRAL",-3.6829384,-40.3470013
2782,SUPERMERCADO RAINHA,,,RUA TABELIAO ILDEFONSO CAVALCANTE,558,CENTRO,SOBRAL,"RUA TABELIAO ILDEFONSO CAVALCANTE, 558, CENTRO, SOBRAL",-3.6907264,-40.3575791
2788,LANCONETE O TENORIO,,,RUA CORONEL ALBUQUERQUE,SN,SANTA CASA,SOBRAL,"RUA CORONEL ALBUQUERQUE, SN, SANTA CASA, SOBRAL",-3.6935491,-40.3589038
2800,MERCAD O SARAIVA,,,RUA MESSIAS CARNEIRO,SN,SAO JOSE,VICOSA DO CEARA,"RUA MESSIAS CARNEIRO, SN, SAO JOSE, VICOSA DO CEARA",-3.5661948,-41.0909675
